agency_responsible,n,slow,slow_rate
PICS - Customer Service and Communications,6747,2669,0.39558322217281755
OS - Mobility,84484,5902,0.06985938165806543
CS - Emergency Management and Community Safety,92423,568,0.0061456563842333615
OS - Water Services,41381,214,0.005171455498900462
CS - Calgary Fire,11983,39,0.003254610698489527
"PDS - Development, Business and Building Services",13112,21,0.0016015863331299573
CS - Recreation and Social Programs,20930,26,0.0012422360248447205
OS - Calgary Transit,19563,23,0.0011756888002862546
Corporate Wide Service Requests,2259,1,0.0004426737494466578
OS - Parks and Open Spaces,47808,9,0.00018825301204819278
CPFS - Finance,1539,0,0.0
CPFS - Assessment and Tax,36137,0,0.0
IS - Public Spaces Delivery,1811,0,0.0
OS - Waste and Recycling Services,86712,0,0.0
OSC - Waste and Recycling Services,4889,0,0.0
OSC - Calgary Transit,2553,0,0.0
