comm_code,service_share__311 Contact Us,service_share__AT - Property Tax Account Inquiry,service_share__Bylaw - Long Grass - Weeds Infraction,service_share__Bylaw - Material on Public Property,service_share__Bylaw - Snow and Ice on Sidewalk,service_share__CBS Inspection - Electrical,service_share__Corporate - Graffiti Concerns,service_share__Finance - ONLINE TIPP Agreement Request,service_share__Finance - Property Tax Account Inquiry,service_share__Other services,service_share__Parks - Tree Concern - WAM,service_share__Roads - Snow and Ice Control,service_share__WRS - Cart Management,service_share__WRS - Compost - Green Cart,service_share__WRS - Recycling - Blue Cart,service_share__WRS - Waste - Residential,agency_share__CFOD - Finance,agency_share__CS - Calgary Community Standards,agency_share__CS - Emergency Management and Community Safety,agency_share__OS - Mobility,agency_share__OS - Waste and Recycling Services,agency_share__Other agencies,agency_share__PD - Calgary Building Services,agency_share__TRAN - Roads,agency_share__UEP - Waste and Recycling Services,comm_name,total_requests,mean_annual_requests,log_mean_annual_requests,annual_cv,recent_log_ratio,cluster
02C,0.015238095238095238,0.02666666666666667,0.0,0.013333333333333334,0.0,0.02666666666666667,0.0038095238095238095,0.007619047619047619,0.02666666666666667,0.8533333333333334,0.0038095238095238095,0.022857142857142857,0.0,0.0,0.0,0.0,0.01904761904761905,0.02095238095238095,0.02857142857142857,0.1619047619047619,0.0,0.5447619047619048,0.1676190476190476,0.05523809523809524,0.0019047619047619048,02C,525,105.0,4.663439094112067,0.38350336365144544,0.3202582428863936,3
02F,0.02700348432055749,0.0008710801393728223,0.01132404181184669,0.006097560975609756,0.0008710801393728223,0.008710801393728223,0.012195121951219513,0.0,0.0,0.9059233449477352,0.0,0.024390243902439025,0.0008710801393728223,0.0008710801393728223,0.0,0.0008710801393728223,0.005226480836236934,0.040940766550522645,0.04355400696864112,0.24825783972125434,0.17682926829268292,0.27526132404181186,0.04442508710801394,0.1019163763066202,0.06358885017421603,02F,1148,229.6,5.440684607834958,0.2182833671064469,0.2698409348105111,3
09Q,0.03492786636294609,0.0,0.0,0.029612756264236904,0.0007593014426727411,0.002277904328018223,0.01442672741078208,0.0007593014426727411,0.0015186028853454822,0.8997722095671982,0.010630220197418374,0.004555808656036446,0.0007593014426727411,0.0,0.0,0.0,0.002277904328018223,0.085041761579347,0.18071374335611237,0.08656036446469248,0.07896735003796507,0.43659832953682615,0.009111617312072893,0.08656036446469248,0.03416856492027335,09Q,1317,263.4,5.577463107977531,0.09263010805172536,0.0752234212375873,3
12A,0.02456418383518225,0.03882725832012678,0.019809825673534072,0.020602218700475437,0.0,0.0071315372424722665,0.0,0.028526148969889066,0.06814580031695722,0.7393026941362916,0.002377179080824089,0.012678288431061807,0.00792393026941363,0.010301109350237718,0.011885895404120444,0.00792393026941363,0.08478605388272584,0.045166402535657686,0.07527733755942947,0.14263074484944532,0.03645007923930269,0.45245641838351824,0.08240887480190175,0.061806656101426306,0.01901743264659271,12A,1262,252.4,5.534969267887039,0.05305188190577018,0.04024688050859382,3
12B,0.022792022792022793,0.0014245014245014246,0.0,0.011396011396011397,0.0,0.0,0.002849002849002849,0.0014245014245014246,0.009971509971509971,0.9287749287749287,0.009971509971509971,0.009971509971509971,0.0,0.0,0.0,0.0014245014245014246,0.011396011396011397,0.03276353276353276,0.038461538461538464,0.17094017094017094,0.07264957264957266,0.5441595441595442,0.007122507122507123,0.09971509971509972,0.022792022792022793,12B,702,140.4,4.951592753462473,0.3743079099804502,-0.5048757549597553,3
ABB,0.015074092999489013,0.015840572304547777,0.018650996423096575,0.031297904956566175,0.0314256515074093,0.012646908533469597,0.01992846193152785,0.01762902401635156,0.03794072560040879,0.5569749616760348,0.013157894736842105,0.009836484414920797,0.09108329075114972,0.03436382217680123,0.035002554931016866,0.05914665304036791,0.0516096065406234,0.09325498211548289,0.13681655595298928,0.07128257537046499,0.14575881451200817,0.29190086867654574,0.046371997956055185,0.057869187531936636,0.10513541134389372,ABBEYDALE,7828,1565.6,7.356662944933138,0.06551853960914712,-0.052482669445163666,2
ABP,0.05282465150403522,0.0,0.00880410858400587,0.02641232575201761,0.0007336757153338225,0.0022010271460014674,0.07043286867204696,0.0022010271460014674,0.0022010271460014674,0.822450476889215,0.0022010271460014674,0.008070432868672046,0.0007336757153338225,0.0,0.0007336757153338225,0.0,0.003668378576669112,0.08143800440205429,0.16067498165810712,0.1760821716801174,0.001467351430667645,0.4856933235509905,0.024944974321349962,0.06309611151870873,0.00293470286133529,AURORA BUSINESS PARK,1363,272.6,5.611667185748395,0.23295792575566407,0.37558803724521983,3
ABT,0.0033482142857142855,0.0,0.0,0.0011160714285714285,0.0027901785714285715,0.04352678571428571,0.0,0.09207589285714286,0.07142857142857142,0.7170758928571429,0.0033482142857142855,0.006138392857142857,0.0011160714285714285,0.015066964285714286,0.03962053571428571,0.0033482142857142855,0.09542410714285714,0.006138392857142857,0.010044642857142858,0.016183035714285716,0.14285714285714285,0.42410714285714285,0.13392857142857142,0.010602678571428572,0.16071428571428573,AMBLETON,1792,448.0,6.1070228877422545,1.2772162007377101,-1.4364841056437458,2
ACA,0.013437576349865624,0.013437576349865624,0.020706083557292938,0.016613730759833863,0.03157830442218422,0.02211092108477889,0.022355240654776447,0.02510383581724896,0.03237234302467628,0.6533716100659663,0.01844612753481554,0.021561202052284387,0.03793061324212069,0.02589787441974102,0.021561202052284387,0.02351575861226484,0.05210114830197899,0.06877595895431224,0.11275348155387246,0.09082580014659174,0.08056437820669436,0.39231614952357685,0.08923772294160762,0.06450036647935499,0.04892499389201075,ACADIA,16372,3274.4,8.094195278015768,0.040722816800395564,-0.03921477404693796,2
ALB,0.016082711085583,0.013067202757036185,0.02362148190695003,0.03467834577828834,0.023980470993681793,0.007610568638713383,0.03690407811602527,0.013569787478460655,0.02742676622630672,0.6550114876507754,0.010626076967260195,0.012205628948879953,0.06770534175761057,0.013282596209075244,0.019170017231476162,0.02505743825387708,0.03604250430786904,0.11394313612866169,0.15027283170591613,0.08823951751866743,0.10094773118897185,0.3338598506605399,0.041211947156806435,0.06849511774842044,0.06698736358414704,ALBERT PARK/RADISSON HEIGHTS,13928,2785.6,7.932577493679491,0.022092562900300542,0.0012487736882826894,2
