feature,importance
trend,0.1101512429218539
temperature_2m_mean_lag1,0.10588563732692009
doy_cos,0.09864560517124073
temperature_2m_max,0.09266496720273584
doy_sin,0.08472285067041163
apparent_temperature_min,0.07794058585358873
temperature_2m_mean,0.07436809566977101
temperature_2m_min,0.06803503027339469
wind_gusts_10m_max,0.03633513384327994
wind_speed_10m_max,0.0334832193036052
month_sin,0.028013310008543606
snowfall_3day,0.025567721415540832
precipitation_3day,0.022590045674300365
month_cos,0.022430151906727716
snowfall_sum_lag2,0.019827307964901068
weekend,0.0176268350974584
snowfall_sum_lag1,0.016680931725952315
snowfall_sum_lag3,0.013520876405605219
snowfall_sum,0.013241038400900955
precipitation_sum_lag1,0.012033204226858123
precipitation_sum,0.010534060959104872
precipitation_hours,0.009129588154944406
rain_sum,0.003813704793668743
freeze_thaw,0.002758855028691542
