feature,coefficient_per_sd,multiplicative_effect_per_sd
temperature_2m_min,0.9843392214508259,2.6760430282445706
precipitation_sum,0.8061430932571957,2.2392547133665204
temperature_2m_mean,0.5998214242698938,1.8217934432466985
doy_cos,0.5727634687347463,1.773160360283978
doy_sin,0.47520410797401696,1.6083424395030892
wind_speed_10m_max,0.3402180706401008,1.4052540017924082
snowfall_sum_lag2,0.29201015509105915,1.3391166164214237
freeze_thaw,0.1762171109091517,1.192696978067788
snowfall_sum_lag1,0.1678352555194945,1.182741744422427
precipitation_sum_lag1,0.1437727571936806,1.1546216992355596
snowfall_sum_lag3,0.11593380400647914,1.122921536766158
snowfall_3day,0.04106182343126725,1.041916518408609
month_sin,0.03527417830321418,1.0359036921834193
month_cos,0.02376433593432272,1.0240489579109278
precipitation_hours,-0.12479585843242282,0.8826770752754131
temperature_2m_mean_lag1,-0.1591233741861453,0.8528911277291016
trend,-0.1613629464075576,0.8509831537717703
weekend,-0.20507160172182404,0.8145889883490999
temperature_2m_max,-0.34650627827565433,0.7071543795632094
snowfall_sum,-0.39005165563695254,0.6770219015973409
precipitation_3day,-0.4234433213550166,0.6547882871275755
wind_gusts_10m_max,-0.44512389365070987,0.6407448868913044
rain_sum,-0.6798638535479778,0.5066859711671373
apparent_temperature_min,-1.2555465655846267,0.28492007814996456
