feature,importance_mae
doy_cos,16.466410464543262
temperature_2m_mean_lag1,15.698207714927282
temperature_2m_max,2.988254062887573
temperature_2m_mean,2.3486949162409316
snowfall_sum,1.5089214316616886
apparent_temperature_min,0.7976251699570899
weekend,0.6859545886670105
snowfall_sum_lag1,0.5676563727789865
temperature_2m_min,0.5645123608626115
snowfall_sum_lag2,0.5168940897850611
snowfall_3day,0.32628703798979936
snowfall_sum_lag3,0.31808939247397844
precipitation_hours,0.29721223607986824
freeze_thaw,0.04867888942522711
doy_sin,0.042138554948969544
rain_sum,0.038695013539519964
month_cos,0.016196364591849744
trend,-1.0658141036401502e-15
precipitation_sum,-0.010500089035427962
precipitation_sum_lag1,-0.06334294816749128
wind_gusts_10m_max,-0.0945132385954441
month_sin,-0.09839472942155539
wind_speed_10m_max,-0.2536515578256665
precipitation_3day,-0.5140895963541933
