feature,spearman_rho
temperature_2m_mean_lag1,-0.6575508519084932
temperature_2m_mean,-0.6106610138723121
apparent_temperature_min,-0.6030963568256101
temperature_2m_max,-0.5926935418351337
temperature_2m_min,-0.5872295543527981
snowfall_3day,0.26892210224390733
rain_sum,-0.267112491475349
snowfall_sum_lag2,0.23729852209947044
snowfall_sum_lag3,0.22939863422935197
wind_gusts_10m_max,-0.22671264435504507
snowfall_sum_lag1,0.1784334003530665
wind_speed_10m_max,-0.1135307169928805
snowfall_sum,0.09767078833300592
precipitation_sum,-0.07199256920795916
precipitation_hours,-0.0660527834234945
freeze_thaw,-0.027442038071315244
precipitation_3day,0.024385408279375572
precipitation_sum_lag1,0.01183719287262464
