year,month,day_of_week,source,service_name,agency_responsible,location_type,n,quick
2021,1,0,App,311 Contact Us,CFOD - Customer Services and Communications,Community Centrepoint,36,34
2021,1,0,App,Bylaw - Material on Public Property,CS - Calgary Community Standards,Community Centrepoint,6,6
2021,1,0,App,Bylaw - Property Maintenance Concerns,CS - Calgary Community Standards,Community Centrepoint,1,1
2021,1,0,App,Bylaw - Snow and Ice on Sidewalk,CS - Calgary Community Standards,Community Centrepoint,147,147
2021,1,0,App,Bylaw - Temporary Signs Infraction on City Property,CS - Calgary Community Standards,Community Centrepoint,3,3
2021,1,0,App,Bylaw - Waste and Recycling Infractions,CS - Calgary Community Standards,Community Centrepoint,6,6
2021,1,0,App,CBS - Infill Construction Concerns,PD - Calgary Building Services,Community Centrepoint,1,1
2021,1,0,App,CBS Inspection - Commercial or Multi-Family,PD - Calgary Building Services,Community Centrepoint,1,1
2021,1,0,App,CBS Inspection - Electrical,PD - Calgary Building Services,Community Centrepoint,17,17
2021,1,0,App,CBS Inspection - Furnace Replacement,PD - Calgary Building Services,Community Centrepoint,1,1
2021,1,0,App,CBS Inspection - Gas,PD - Calgary Building Services,Community Centrepoint,2,2
2021,1,0,App,CBS Inspection - Plumbing,PD - Calgary Building Services,Community Centrepoint,8,8
2021,1,0,App,CBS Inspection - Residential Improvement Project - RIP,PD - Calgary Building Services,Community Centrepoint,5,5
2021,1,0,App,Compliance - Business Licence Concern,CS - Calgary Community Standards,Community Centrepoint,1,1
2021,1,0,App,Corporate - Graffiti Concerns,CS - Calgary Community Standards,Community Centrepoint,72,72
2021,1,0,App,Corporate - Graffiti Concerns,CS - Emergency Management and Community Safety,Community Centrepoint,2,2
2021,1,0,App,Parks - Garbage - WAM,CS - Calgary Parks,Community Centrepoint,24,24
2021,1,0,App,Parks - Infrastructure - WAM,CS - Calgary Parks,Community Centrepoint,9,9
2021,1,0,App,Parks - Lighting Concern - WAM,CS - Calgary Parks,Community Centrepoint,3,3
2021,1,0,App,Parks - Maintenance - WAM,CS - Calgary Parks,Community Centrepoint,1,1
2021,1,0,App,Parks - Pathway Concern - WAM,CS - Calgary Parks,Community Centrepoint,2,2
2021,1,0,App,Parks - Snow and Ice Concerns - WAM,CS - Calgary Parks,Community Centrepoint,59,59
2021,1,0,App,Parks - Snow and Ice Concerns - WAM,OS - Parks and Open Spaces,Community Centrepoint,1,1
2021,1,0,App,Parks - Tree Concern - WAM,CS - Calgary Parks,Community Centrepoint,4,4
2021,1,0,App,Parks - Wildlife Management,CS - Calgary Parks,Community Centrepoint,2,2
2021,1,0,App,Parks - Wildlife Management,OS - Parks and Open Spaces,Community Centrepoint,1,1
2021,1,0,App,Parks - Wildlife Sightings,CS - Calgary Parks,Community Centrepoint,4,4
2021,1,0,App,Parks - Wildlife Sightings,OS - Parks and Open Spaces,Community Centrepoint,1,1
2021,1,0,App,Roads - Dead Animal Pick-Up,TRAN - Roads,Community Centrepoint,4,4
2021,1,0,App,Roads - Debris on Backlane,TRAN - Roads,Community Centrepoint,10,10
2021,1,0,App,Roads - Detour Inquiry,TRAN - Roads,Community Centrepoint,1,1
2021,1,0,App,Roads - Fence - Noise Barrier - Retaining Wall Repair,TRAN - Roads,Community Centrepoint,1,1
2021,1,0,App,Roads - Pothole Maintenance,TRAN - Roads,Community Centrepoint,1,1
2021,1,0,App,Roads - Roadway Maintenance,TRAN - Roads,Community Centrepoint,1,1
2021,1,0,App,Roads - Sidewalk - Curb and Gutter Repair,TRAN - Roads,Community Centrepoint,2,1
2021,1,0,App,Roads - Signs - Missing - Damaged,OS - Mobility,Community Centrepoint,2,2
2021,1,0,App,Roads - Signs - Missing - Damaged,TRAN - Roads,Community Centrepoint,14,14
2021,1,0,App,Roads - Signs - Traffic and Roadmarking,OS - Mobility,Community Centrepoint,2,2
2021,1,0,App,Roads - Signs - Traffic and Roadmarking,TRAN - Roads,Community Centrepoint,4,4
2021,1,0,App,Roads - Snow and Ice Control,TRAN - Roads,Community Centrepoint,67,67
2021,1,0,App,Roads - Streetlight Damage,TRAN - Roads,Community Centrepoint,5,5
2021,1,0,App,Roads - Traffic or Pedestrian Light Repair,TRAN - Roads,Community Centrepoint,3,3
2021,1,0,App,Roads - Traffic Signal Timing Inquiry,TRAN - Roads,Community Centrepoint,4,4
2021,1,0,App,WATS - Catch Basin Concerns,UEP - Water Services,Community Centrepoint,1,1
2021,1,0,App,WATS - Fire Hydrant,UEP - Water Services,Community Centrepoint,2,2
2021,1,0,App,WATS - Manhole Concerns,UEP - Water Services,Community Centrepoint,1,1
2021,1,0,Other,After Hours Transit - General Concerns,TRAN - Calgary Transit,Community Centrepoint,5,5
2021,1,0,Other,AS - Animal at Large,CS - Calgary Community Standards,Community Centrepoint,2,2
2021,1,0,Other,AS - Animal Chase - Threat,CS - Calgary Community Standards,Community Centrepoint,1,1
2021,1,0,Other,AS - Animal Licence - Concerns on Existing,CS - Calgary Community Standards,Community Centrepoint,2,2
2021,1,0,Other,AS - Dog Defecation,CS - Calgary Community Standards,Community Centrepoint,1,1
2021,1,0,Other,AS - Lost and Found Animal,CS - Calgary Community Standards,Community Centrepoint,3,3
2021,1,0,Other,AS - Pick Up Stray,CS - Calgary Community Standards,Community Centrepoint,3,3
2021,1,0,Other,Bylaw - Disturbance and Behavioural Concerns,CS - Calgary Community Standards,Community Centrepoint,31,31
2021,1,0,Other,Bylaw - Material on Public Property,CS - Calgary Community Standards,Community Centrepoint,11,11
2021,1,0,Other,Bylaw - Noise Concerns,CS - Emergency Management and Community Safety,Community Centrepoint,1,1
2021,1,0,Other,Bylaw - Property Maintenance Concerns,CS - Calgary Community Standards,Community Centrepoint,1,1
