year,comm_code,comm_name,agency_responsible,n
2021,01B,01B,CFOD - Customer Services and Communications,1
2021,01B,01B,CS - Calgary Community Standards,14
2021,01B,01B,CS - Calgary Fire,7
2021,01B,01B,CS - Calgary Parks,8
2021,01B,01B,DCMO - Facility Management,1
2021,01B,01B,DCMO - Real Estate and Development Services,2
2021,01B,01B,IS - Real Estate and Development Services,1
2021,01B,01B,OS - Waste and Recycling Services,1
2021,01B,01B,OS - Water Services,1
2021,01B,01B,PD - Calgary Building Services,5
2021,01B,01B,TRAN - Roads,13
2021,01B,01B,UEP - Water Services,8
2021,01C,01C,CFOD - Customer Services and Communications,3
2021,01C,01C,CFOD - Finance,7
2021,01C,01C,CS - Calgary Community Standards,8
2021,01C,01C,CS - Calgary Fire,3
2021,01C,01C,CS - Calgary Neighbourhoods,1
2021,01C,01C,CS - Calgary Parks,1
2021,01C,01C,DCMO - Real Estate and Development Services,1
2021,01C,01C,LL - Law,1
2021,01C,01C,OS - Mobility,2
2021,01C,01C,PD - Calgary Building Services,4
2021,01C,01C,TRAN - Calgary Transit,1
2021,01C,01C,TRAN - Roads,19
2021,01C,01C,TRAN - Transportation Infrastructure,1
2021,01C,01C,UEP - Waste and Recycling Services,1
2021,01C,01C,UEP - Water Services,9
2021,01F,01F,CFOD - Customer Services and Communications,2
2021,01F,01F,CFOD - Finance,17
2021,01F,01F,CS - Calgary Community Standards,1
2021,01F,01F,CS - Calgary Parks,2
2021,01F,01F,CS - Emergency Management and Community Safety,2
2021,01F,01F,Elected Officials,1
2021,01F,01F,PD - Calgary Building Services,9
2021,01F,01F,TRAN - Roads,6
2021,01F,01F,UEP - Waste and Recycling Services,4
2021,01F,01F,UEP - Water Services,2
2021,01H,01H,CFOD - Finance,1
2021,01H,01H,CS - Calgary Community Standards,2
2021,01H,01H,CS - Calgary Parks,2
2021,01H,01H,OS - Mobility,1
2021,01H,01H,PD - Calgary Building Services,1
2021,01H,01H,TRAN - Roads,8
2021,01I,01I,CS - Calgary Community Standards,6
2021,01I,01I,TRAN - Roads,1
2021,01I,01I,UEP - Waste and Recycling Services,2
2021,01K,01K,CFOD - Customer Services and Communications,1
2021,01K,01K,CFOD - Finance,1
2021,01K,01K,CS - Calgary Community Standards,12
2021,01K,01K,CS - Calgary Fire,2
2021,01K,01K,CS - Calgary Parks,12
2021,01K,01K,CS - Emergency Management and Community Safety,1
2021,01K,01K,DCMO - Real Estate and Development Services,2
2021,01K,01K,OS - Mobility,2
2021,01K,01K,PD - Calgary Building Services,13
2021,01K,01K,TRAN - Calgary Transit,3
2021,01K,01K,TRAN - Roads,8
2021,01K,01K,UEP - Water Resources,1
2021,01K,01K,UEP - Water Services,10
2021,02B,02B,CS - Calgary Community Standards,3
2021,02B,02B,OS - Mobility,1
2021,02B,02B,TRAN - Roads,7
2021,02C,02C,CFOD - Customer Services and Communications,3
2021,02C,02C,CFOD - Finance,4
2021,02C,02C,CS - Calgary Community Standards,6
2021,02C,02C,CS - Calgary Fire,2
2021,02C,02C,CS - Calgary Parks,1
2021,02C,02C,LL - City Clerk's,1
2021,02C,02C,OS - Water Services,1
2021,02C,02C,PD - Calgary Building Services,18
2021,02C,02C,TRAN - Roads,18
2021,02C,02C,UEP - Water Resources,8
2021,02C,02C,UEP - Water Services,1
2021,02E,02E,CFOD - Finance,1
2021,02E,02E,CS - Calgary Community Standards,2
2021,02E,02E,CS - Calgary Fire,1
2021,02E,02E,CS - Calgary Parks,1
2021,02E,02E,LL - City Clerk's,1
2021,02E,02E,PD - Calgary Building Services,2
2021,02E,02E,TRAN - Roads,4
2021,02E,02E,UEP - Waste and Recycling Services,1
2021,02E,02E,UEP - Water Services,3
2021,02F,02F,CFOD - Customer Services and Communications,27
2021,02F,02F,CFOD - Finance,5
2021,02F,02F,CS - Calgary Community Standards,31
2021,02F,02F,CS - Calgary Fire,4
2021,02F,02F,CS - Calgary Parks,13
2021,02F,02F,CS - Emergency Management and Community Safety,1
2021,02F,02F,DCMO - Corporate Analytics and Innovation,1
2021,02F,02F,DCMO - Fleet Services,1
2021,02F,02F,DCMO - Real Estate and Development Services,3
2021,02F,02F,LL - Law,1
2021,02F,02F,OS - Mobility,8
2021,02F,02F,OS - Waste and Recycling Services,11
2021,02F,02F,PD - Calgary Building Services,34
2021,02F,02F,TRAN - Calgary Transit,1
2021,02F,02F,TRAN - Roads,63
2021,02F,02F,TRAN - Transportation Planning,1
2021,02F,02F,UEP - Waste and Recycling Services,41
2021,02F,02F,UEP - Water Resources,3
2021,02F,02F,UEP - Water Services,2
2021,02K,02K,CFOD - Finance,1
2021,02K,02K,CS - Calgary Community Standards,1
2021,02K,02K,CS - Calgary Fire,2
2021,02K,02K,OS - Mobility,1
2021,02K,02K,TRAN - Roads,10
2021,02L,02L,CFOD - Finance,3
2021,02L,02L,CS - Calgary Community Standards,1
2021,02L,02L,CS - Calgary Fire,1
2021,02L,02L,PD - Calgary Building Services,11
2021,02L,02L,TRAN - Roads,10
2021,03W,03W,CFOD - Finance,2
2021,03W,03W,CS - Calgary Fire,1
2021,03W,03W,CS - Calgary Parks,1
2021,03W,03W,TRAN - Roads,15
2021,05D,05D,CFOD - Finance,3
2021,05D,05D,CS - Calgary Community Standards,15
2021,05D,05D,CS - Emergency Management and Community Safety,1
2021,05D,05D,OS - Waste and Recycling Services,1
2021,05D,05D,PD - Calgary Building Services,1
2021,05D,05D,TRAN - Roads,12
2021,05D,05D,UEP - Waste and Recycling Services,1
2021,05E,05E,CFOD - Customer Services and Communications,3
2021,05E,05E,CS - Calgary Parks,1
2021,05E,05E,OS - Mobility,1
2021,05E,05E,TRAN - Roads,20
2021,05E,05E,UEP - Water Resources,1
2021,05F,05F,CS - Calgary Community Standards,2
2021,05F,05F,TRAN - Roads,3
2021,06A,06A,CFOD - Customer Services and Communications,5
2021,06A,06A,CFOD - Finance,3
2021,06A,06A,CS - Calgary Community Standards,6
2021,06A,06A,CS - Calgary Fire,1
2021,06A,06A,CS - Calgary Neighbourhoods,1
2021,06A,06A,CS - Calgary Parks,4
2021,06A,06A,DCMO - Real Estate and Development Services,1
2021,06A,06A,LL - Law,1
2021,06A,06A,OS - Water Resources,1
2021,06A,06A,PD - Calgary Building Services,1
2021,06A,06A,TRAN - Roads,26
2021,06A,06A,TRAN - Transportation Infrastructure,10
2021,06A,06A,TRAN - Transportation Planning,1
2021,06A,06A,UEP - Waste and Recycling Services,1
2021,06A,06A,UEP - Water Resources,2
2021,06A,06A,UEP - Water Services,1
2021,06B,06B,CS - Calgary Fire,2
2021,06B,06B,UEP - Water Services,1
2021,06C,06C,CFOD - Customer Services and Communications,4
2021,06C,06C,CS - Calgary Community Standards,1
2021,06C,06C,PD - Calgary Building Services,3
2021,06C,06C,TRAN - Roads,5
2021,06C,06C,TRAN - Transportation Infrastructure,2
2021,06C,06C,TRAN - Transportation Planning,1
2021,06C,06C,UEP - Waste and Recycling Services,3
2021,06C,06C,UEP - Water Services,1
2021,09D,09D,CFOD - Customer Services and Communications,1
2021,09D,09D,CS - Calgary Community Standards,50
2021,09D,09D,CS - Calgary Parks,25
2021,09D,09D,CS - Emergency Management and Community Safety,1
2021,09D,09D,DCMO - Real Estate and Development Services,1
2021,09D,09D,OS - Mobility,2
2021,09D,09D,OS - Waste and Recycling Services,1
2021,09D,09D,TRAN - Roads,11
2021,09D,09D,TRAN - Transportation Planning,1
2021,09H,09H,CFOD - Customer Services and Communications,1
2021,09H,09H,CS - Calgary Community Standards,16
2021,09H,09H,CS - Calgary Fire,1
2021,09H,09H,CS - Calgary Parks,5
2021,09H,09H,LL - Law,1
2021,09H,09H,OS - Mobility,2
2021,09H,09H,TRAN - Calgary Transit,1
2021,09H,09H,TRAN - Roads,17
2021,09H,09H,UEP - Water Services,2
2021,09K,09K,CFOD - Customer Services and Communications,2
2021,09K,09K,CFOD - Finance,2
2021,09K,09K,CS - Calgary Community Standards,6
2021,09K,09K,CS - Calgary Fire,7
2021,09K,09K,CS - Calgary Parks,2
2021,09K,09K,PD - Calgary Building Services,12
2021,09K,09K,TRAN - Roads,28
2021,09K,09K,UEP - Waste and Recycling Services,1
2021,09O,09O,CFOD - Assessment,2
2021,09O,09O,CFOD - Finance,35
2021,09O,09O,CS - Calgary Community Standards,14
2021,09O,09O,CS - Calgary Fire,5
2021,09O,09O,CS - Calgary Neighbourhoods,17
2021,09O,09O,CS - Calgary Parks,1
2021,09O,09O,Elected Officials,2
2021,09O,09O,PD - Calgary Building Services,10
2021,09O,09O,TRAN - Calgary Transit,1
2021,09O,09O,TRAN - Roads,15
2021,09O,09O,TRAN - Transportation Planning,1
2021,09O,09O,UEP - Waste and Recycling Services,2
2021,09O,09O,UEP - Water Services,2
2021,09P,09P,CFOD - Assessment,3
2021,09P,09P,CFOD - Finance,5
2021,09P,09P,CS - Calgary Community Standards,12
2021,09P,09P,CS - Calgary Neighbourhoods,1
2021,09P,09P,CS - Calgary Parks,1
2021,09P,09P,OS - Mobility,8
2021,09P,09P,OS - Waste and Recycling Services,1
2021,09P,09P,PD - Calgary Building Services,13
2021,09P,09P,TRAN - Roads,43
