year,comm_code,comm_name,service_name,n
2021,01B,01B,311 Contact Us,1
2021,01B,01B,Animal / Bylaw - Information Request,1
2021,01B,01B,AS - Animal Vehicle Offences,1
2021,01B,01B,AS - Dog Defecation,1
2021,01B,01B,Bylaw - Disturbance and Behavioural Concerns,1
2021,01B,01B,Bylaw - Material on Public Property,2
2021,01B,01B,CBS Inspection - Commercial or Multi-Family,1
2021,01B,01B,CBS Inspection - Gas,3
2021,01B,01B,CBS - Unsafe Derelict or Grow Op Property,1
2021,01B,01B,CFD - Fire Code and General Inquiries - FHB,2
2021,01B,01B,CFD - Inspection - Missed Annual - FHB,1
2021,01B,01B,CFD - Lockbox Inquiry - FHB,2
2021,01B,01B,CFD - Special Events Inspection - FHB,1
2021,01B,01B,CFD - Technical Services Review - FHB,1
2021,01B,01B,Corporate - Encampment Concerns,1
2021,01B,01B,Corporate - Face Covering Concerns,1
2021,01B,01B,Corporate - Graffiti Concerns,6
2021,01B,01B,Facility Mgmt - Civic Facility Inquiry,1
2021,01B,01B,N/A,1
2021,01B,01B,Parks - Garbage - WAM,1
2021,01B,01B,Parks - Infrastructure - WAM,1
2021,01B,01B,Parks - Maintenance - WAM,1
2021,01B,01B,Parks - Natural Area Inquiries - WAM,1
2021,01B,01B,Parks - Pathway Concern - WAM,1
2021,01B,01B,Parks - Planning Inquiries,1
2021,01B,01B,Parks - Wildlife Sightings,2
2021,01B,01B,Roads - Dead Animal Pick-Up,5
2021,01B,01B,Roads - Debris on Street/Sidewalk/Boulevard,1
2021,01B,01B,Roads - Streetlight Maintenance,6
2021,01B,01B,Stewardship of City Owned Land,3
2021,01B,01B,WATS - Bulk Water Station Inquiries,1
2021,01B,01B,WATS - Fire Hydrant,2
2021,01B,01B,WATS - Water Treatment Inquiries,6
2021,01B,01B,WRS - Employee - Complaint Compliment,1
2021,01C,01C,311 Contact Us,2
2021,01C,01C,Bylaw - Noise Concerns,2
2021,01C,01C,CBS Inspection - Commercial or Multi-Family,1
2021,01C,01C,CBS Inspection - Gas,2
2021,01C,01C,CBS Inspection - Heating and Ventilation,1
2021,01C,01C,CFD - Business Licence Inspection - FHB,2
2021,01C,01C,CFD - Life Safety Systems Inspection - FHB,1
2021,01C,01C,CN - Subsidized Programs - Fair Entry,1
2021,01C,01C,Compliance - Business Licence Concern,4
2021,01C,01C,Corporate - Face Covering Concerns,2
2021,01C,01C,CT - Fair Entry Inquiry,1
2021,01C,01C,Finance - ONLINE TIPP Agreement Request,3
2021,01C,01C,Finance - Property Tax Account Inquiry,4
2021,01C,01C,Law - Risk Management and Claims,1
2021,01C,01C,N/A,1
2021,01C,01C,Parks - Wildlife Sightings,1
2021,01C,01C,REDS - Property Leasing and Sales Inquiry,1
2021,01C,01C,Roads - Dead Animal Pick-Up,1
2021,01C,01C,Roads - Debris on Backlane,1
2021,01C,01C,Roads - Detour Inquiry,1
2021,01C,01C,Roads - New Subdivisions,2
2021,01C,01C,Roads - Pothole Maintenance,3
2021,01C,01C,Roads - Roadway Maintenance,2
2021,01C,01C,Roads - Signs - Traffic and Roadmarking,2
2021,01C,01C,Roads - Snow and Ice Control,8
2021,01C,01C,Roads - Traffic or Pedestrian Light Repair,1
2021,01C,01C,TI - Connections to South West Ring Road,1
2021,01C,01C,WATS - Catch Basin Concerns,1
2021,01C,01C,WATS - Water Main Break or Leak,8
2021,01C,01C,WRS - Commercial Collection Services,1
2021,01F,01F,311 Contact Us,1
2021,01F,01F,After Hours Office of the Councillors - General Inquiry,1
2021,01F,01F,Bylaw - Noise Concerns,2
2021,01F,01F,CBS Inspection - Electrical,2
2021,01F,01F,CBS Inspection - Furnace Replacement,1
2021,01F,01F,CBS Inspection - Gas,3
2021,01F,01F,CBS Inspection - Heating and Ventilation,1
2021,01F,01F,CBS - RIM - Property Research,2
2021,01F,01F,Compliance - Business Licence Concern,1
2021,01F,01F,Finance - ONLINE Property Tax Document Request,1
2021,01F,01F,Finance - ONLINE TIPP Agreement Request,7
2021,01F,01F,Finance - Property Tax Account Inquiry,8
2021,01F,01F,Finance - TIPP Agreement Request,1
2021,01F,01F,N/A,1
2021,01F,01F,Parks - Wildlife Management,1
2021,01F,01F,Parks - Wildlife Sightings,1
2021,01F,01F,Roads - Backlane Maintenance,1
2021,01F,01F,Roads - Boulevard Maintenance,1
2021,01F,01F,Roads - Debris on Street/Sidewalk/Boulevard,1
2021,01F,01F,Roads - Pothole Maintenance,1
2021,01F,01F,Roads - Roadway Maintenance,2
2021,01F,01F,WATS - Cross Connection Inquiries,1
2021,01F,01F,WATS - Fire Hydrant,1
2021,01F,01F,WRS - Cart Management,2
2021,01F,01F,WRS - Commercial Collection Services,1
2021,01F,01F,WRS - Programs,1
2021,01H,01H,Bylaw - Material on Public Property,1
2021,01H,01H,Bylaw - Vandalism and Property Damage Concerns,1
2021,01H,01H,CBS Inspection - Commercial or Multi-Family,1
2021,01H,01H,Finance - Property Tax Account Inquiry,1
2021,01H,01H,Parks - General Concerns,1
2021,01H,01H,Parks - Wildlife Sightings,1
2021,01H,01H,Roads - Dead Animal Pick-Up,2
2021,01H,01H,Roads - Debris on Street/Sidewalk/Boulevard,2
2021,01H,01H,Roads - Pothole Maintenance,1
2021,01H,01H,Roads - Roadway Maintenance,2
2021,01H,01H,Roads - Signs - Missing - Damaged,2
2021,01I,01I,Bylaw - Long Grass - Weeds Infraction,6
2021,01I,01I,Roads - Debris on Street/Sidewalk/Boulevard,1
2021,01I,01I,WRS - New Service - Carts,2
2021,01K,01K,AS - Animal at Large,1
2021,01K,01K,Bylaw - Disturbance and Behavioural Concerns,1
2021,01K,01K,Bylaw - Material on Public Property,3
2021,01K,01K,Bylaw - Noise Concerns,1
2021,01K,01K,Bylaw - Temporary Signs Infraction on City Property,2
2021,01K,01K,CBS Inspection - Cancellation or Reschedule,1
2021,01K,01K,CBS Inspection - Commercial or Multi-Family,2
2021,01K,01K,CBS Inspection - Electrical,6
2021,01K,01K,CBS Inspection - Heating & Ventilation,2
2021,01K,01K,CBS Inspection - Plumbing,2
2021,01K,01K,CFD - Inspection - Provincial Accreditation or Licence - FHB,1
2021,01K,01K,CFD - Provincial Accreditation or Licence Inspection - FHB,1
2021,01K,01K,Compliance - Taxi/Limousine/TNC (Ride Sharing) Concern,1
2021,01K,01K,Corporate - Encampment Concerns,1
2021,01K,01K,Corporate - Graffiti Concerns,3
2021,01K,01K,CT - Advertising and Communications,1
2021,01K,01K,CT - Bus Route or Bus Schedule,1
2021,01K,01K,CT - Transit Safety / Public Etiquette,1
2021,01K,01K,Finance - Property Tax Account Inquiry,1
2021,01K,01K,N/A,2
2021,01K,01K,Parks - Garbage - WAM,8
2021,01K,01K,Parks - Infrastructure - WAM,1
2021,01K,01K,Parks - Wildlife Management,2
2021,01K,01K,Parks - Wildlife Sightings,1
2021,01K,01K,Roads - Debris on Backlane,1
2021,01K,01K,Roads - Debris on Street/Sidewalk/Boulevard,2
2021,01K,01K,Roads - Roadway Maintenance,1
2021,01K,01K,Roads - Signs - Missing - Damaged,3
2021,01K,01K,Roads - Snow and Ice Control,1
2021,01K,01K,Roads - Traffic or Pedestrian Light Repair,1
2021,01K,01K,Stewardship of City Owned Land,2
2021,01K,01K,WATR - Utility Inspection - Corrosion - Indemnification,1
2021,01K,01K,WATS - Hydrant Control Unit - HCU Inspections,1
2021,01K,01K,WATS - Sewage Back-up,1
2021,01K,01K,WATS - Sewer Maintenance,1
2021,01K,01K,WATS - Spills Entering Storm System,1
