time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2018-01-01,3,-22.0,-8.4,-35.2,-40.2,0.0,0.0,0.0,0.0,17.1,29.2
2018-01-02,3,-5.4,-1.6,-8.4,-14.2,0.0,0.0,0.0,0.0,17.7,29.9
2018-01-03,3,-3.3,1.3,-5.7,-10.4,0.0,0.0,0.0,0.0,15.0,24.5
2018-01-04,3,-5.8,-0.7,-8.8,-13.5,0.0,0.0,0.0,0.0,12.4,20.9
2018-01-05,1,-2.7,3.6,-9.0,-13.8,0.0,0.0,0.0,0.0,13.6,22.7
2018-01-06,3,1.4,5.1,-4.7,-9.1,0.0,0.0,0.0,0.0,20.0,35.3
2018-01-07,3,-3.0,0.9,-6.3,-11.0,0.0,0.0,0.0,0.0,10.9,18.4
2018-01-08,3,-0.3,3.6,-5.3,-9.8,0.0,0.0,0.0,0.0,13.8,27.0
2018-01-09,71,-8.1,-0.8,-18.1,-24.5,0.0,0.0,0.07,0.0,21.8,41.8
2018-01-10,73,-21.1,-18.0,-23.9,-28.7,2.1,0.0,1.82,12.0,17.2,36.0
2018-01-11,71,-27.3,-23.9,-30.5,-35.9,0.0,0.0,0.07,0.0,11.1,24.5
2018-01-12,3,-24.1,-19.3,-29.1,-34.4,0.0,0.0,0.0,0.0,9.0,18.0
2018-01-13,3,-6.2,0.0,-20.4,-25.3,0.0,0.0,0.0,0.0,15.1,25.9
2018-01-14,71,-4.1,-1.3,-8.3,-12.9,0.6,0.0,0.98,4.0,13.4,24.5
2018-01-15,71,-9.6,-7.8,-11.0,-16.9,0.0,0.0,0.07,0.0,18.2,37.1
2018-01-16,2,-3.3,4.7,-11.5,-16.3,0.0,0.0,0.0,0.0,15.9,25.2
2018-01-17,3,-0.3,2.9,-6.3,-11.1,0.0,0.0,0.0,0.0,16.3,27.4
2018-01-18,3,3.1,5.0,-0.2,-5.7,0.0,0.0,0.0,0.0,20.9,42.5
2018-01-19,3,-1.1,3.0,-4.3,-9.1,0.0,0.0,0.0,0.0,17.8,36.4
2018-01-20,3,-2.9,2.6,-7.6,-12.6,0.0,0.0,0.0,0.0,13.3,24.5
2018-01-21,3,-2.6,3.8,-7.3,-12.0,0.0,0.0,0.0,0.0,14.0,30.2
2018-01-22,3,-0.8,4.1,-3.4,-9.5,0.0,0.0,0.0,0.0,22.5,42.5
2018-01-23,3,-3.4,1.4,-6.9,-11.6,0.0,0.0,0.0,0.0,10.5,22.7
2018-01-24,71,-1.1,4.0,-3.2,-7.6,0.0,0.0,0.07,0.0,11.3,23.0
2018-01-25,3,-5.3,1.0,-9.3,-13.6,0.0,0.0,0.0,0.0,9.5,19.4
2018-01-26,3,-10.7,-8.0,-14.6,-19.6,0.0,0.0,0.0,0.0,9.6,22.0
2018-01-27,73,-15.2,-12.8,-18.4,-23.1,1.4,0.0,1.12,7.0,14.7,33.1
2018-01-28,71,-17.2,-14.4,-21.1,-25.7,0.3,0.0,0.28,2.0,13.7,26.3
2018-01-29,51,-7.4,4.8,-17.2,-22.2,0.2,0.2,0.0,1.0,23.7,62.3
2018-01-30,71,0.8,4.7,-4.1,-8.2,0.2,0.0,0.14,1.0,30.9,64.8
2018-01-31,71,-13.6,-2.5,-17.8,-22.6,0.1,0.0,0.42,1.0,16.5,33.8
2018-02-01,3,-15.9,-12.4,-17.7,-22.5,0.0,0.0,0.0,0.0,8.4,20.5
2018-02-02,3,-17.8,-16.8,-19.3,-24.4,0.0,0.0,0.0,0.0,10.6,24.8
2018-02-03,73,-20.0,-17.3,-22.3,-27.0,3.9,0.0,3.01,15.0,17.6,36.0
2018-02-04,73,-17.8,-9.5,-26.3,-32.0,2.9,0.0,2.1,9.0,11.9,19.1
2018-02-05,71,-17.6,-13.3,-22.8,-27.7,0.2,0.0,0.28,1.0,10.8,19.8
2018-02-06,3,-15.0,-11.1,-24.0,-29.4,0.0,0.0,0.0,0.0,16.1,32.4
2018-02-07,73,-12.1,-9.6,-14.4,-19.2,2.9,0.0,2.73,7.0,10.1,21.2
2018-02-08,73,-17.6,-14.4,-22.6,-27.4,9.6,0.0,6.79,17.0,12.0,22.0
2018-02-09,3,-24.2,-14.9,-32.7,-37.8,0.0,0.0,0.0,0.0,9.8,15.8
2018-02-10,3,-14.5,-6.2,-23.5,-29.2,0.0,0.0,0.0,0.0,15.2,25.6
2018-02-11,71,-17.1,-10.8,-28.1,-33.4,1.1,0.0,1.05,6.0,19.6,28.1
2018-02-12,3,-18.0,-5.4,-28.9,-34.4,0.0,0.0,0.0,0.0,19.5,32.0
2018-02-13,3,2.1,7.1,-5.0,-11.5,0.0,0.0,0.0,0.0,27.5,54.4
2018-02-14,71,-6.6,0.1,-14.8,-19.6,0.0,0.0,0.42,0.0,24.7,49.3
